app_text,job_uids,num_jobs,first_occurrence_tst_created
"aggregate and normalize data records pulled from multiple internal and external apis into a unified, structured dataset ready for downstream use.",fe2ec994-3665-44dd-a540-6c1ba96c29eb,1,2024-09-13 12:46:32.673000+02:00
aggregate and output a unified raw dataset that consolidates records from multiple internal and external sources via cloud-based pipelines.,9a9254ed-c57e-4028-9264-6b80823f94a5,1,2023-03-30 11:08:28.473000+02:00
"aggregate and transform petabyte-scale raw datasets into optimized, query-ready data tables stored in a distributed file system.",98b96b27-0c44-443c-acac-3957458c30f7,1,2019-07-16 03:02:01.947000+02:00
"aggregate decentralized flexibility assets—such as electric vehicles, batteries, and heat pumps—into a unified, remotely controllable portfolio.",a202eb29-fa42-415e-b22f-9fc7e57dd28b,1,2024-07-17 19:55:37.818000+02:00
aggregate decentralized parameter updates from distributed data sources to produce an updated global predictive model without accessing raw data.,4d3c7506-5753-44af-87ad-f374954db900,1,2019-06-27 00:35:00.581000+02:00
aggregate encrypted model updates from distributed client devices to produce and distribute an optimized global model that preserves data privacy.,526b76ca-c4bb-474b-b03e-a8b44a602730,1,2019-11-28 16:49:35.060000+01:00
aggregate encrypted model updates from distributed nodes to produce a privacy-preserving global predictive model.,79dd79ae-a7c2-4db0-8b72-17c626c26cbe,1,2019-06-27 21:42:07.276000+02:00
aggregate heterogeneous data streams from multiple sources into a unified centralized repository.,3ae47cf6-96ed-497d-89e0-86984c0807b8,1,2019-11-28 16:49:35.061000+01:00
aggregate massive datasets into real-time summary statistics for rapid querying.,23358189-fb91-412f-842c-bef9229956ff,1,2019-06-27 00:35:00.581000+02:00
alert operators in real time when any component of the data pipeline falls below predefined availability thresholds.,50232a33-3041-4c71-a1ab-b2ef294fe7ec,1,2025-04-15 11:20:16.969000+02:00
alert stakeholders to anomalies in live model performance by continuously tracking and reporting key deployment metrics.,825250ee-2514-4bf7-8c1c-9dcf6cd1ac9a,1,2022-08-11 13:11:05.675000+02:00
allocate data objects across distributed storage nodes to balance load and maintain redundancy.,23358189-fb91-412f-842c-bef9229956ff,1,2019-06-27 00:35:00.581000+02:00
"assemble executable data-mining workflows from user-configured, drag-and-drop components.",23358189-fb91-412f-842c-bef9229956ff,1,2019-06-27 00:35:00.581000+02:00
"assemble, curate, and serve ready-to-use datasets tailored to each business application upon request.",753c35b5-1e4c-4439-b8fc-10ca2b5baa51,1,2022-05-31 10:02:38.718000+02:00
"assign a cluster label to each data record, delineating its membership in naturally occurring segments within the dataset.",34b55766-eccf-4834-88a3-bef5e91db810,1,2021-06-10 21:33:50.997000+02:00
assign a predefined category label to each input instance.,bb043b39-2e3c-47ff-a720-a20ad70c2d69,1,2018-11-19 10:28:52.665000+01:00
assign category labels to each incoming data record in real time using deployed machine-learning models.,a956f957-f910-4173-b48b-197cd0d8a909,1,2020-04-28 19:04:43.611000+02:00
assign each data point to its corresponding predefined category label.,bb043b39-2e3c-47ff-a720-a20ad70c2d69,1,2018-11-19 10:28:52.665000+01:00
assign each input data point a label from the predefined category set.,34b55766-eccf-4834-88a3-bef5e91db810,1,2021-06-10 21:33:50.997000+02:00
"assign employee-specific mandatory training modules, schedule completion deadlines, track progress, and compile compliance reports within workday lms.",183b1e3b-e069-4423-9ab6-e6b33565ca8d,1,2024-02-15 12:08:32.546000+01:00
assign incoming citizen service requests to the most relevant administrative unit for resolution.,1efd25b2-3ea5-42b2-b505-21afd937626d,1,2022-02-07 18:02:57.097000+01:00
assign predefined category labels to each incoming data record.,39f6729e-c13d-4c9c-9310-8ff6812519e8,1,2021-06-11 12:33:23.649000+02:00
assign predefined category labels to incoming records.,34b55766-eccf-4834-88a3-bef5e91db810,1,2021-06-10 21:33:50.997000+02:00
augment internal data records with relevant attributes retrieved from external open data sources.,c236c088-36f4-4b66-9871-e1e3bded16da,1,2023-11-10 20:34:52.196000+01:00
automatically detect and flag data anomalies and schema violations throughout the data pipeline to preserve model-ready quality.,50232a33-3041-4c71-a1ab-b2ef294fe7ec,1,2025-04-15 11:20:16.969000+02:00
automatically provision and scale compute resources in cloud data-warehouse or lake platforms to maintain performance under fluctuating big-data workloads.,a4b7351c-82f1-448d-995b-2a065cde077e,1,2023-09-22 15:53:35.772000+02:00
automatically resize and provision google cloud compute and storage resources in real time to uphold analytical workload performance targets while minimizing cost.,375739d6-ba39-4fe9-aca7-27d0573f0f67,1,2025-06-05 08:58:12.793000+02:00
